"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 15 18:01:02 BRT 2020","Tue Dec 15 18:01:03 BRT 2020","643","","Actions","","","",".submit() - submit a form",""
"passed","Tue Dec 15 18:01:28 BRT 2020","Tue Dec 15 18:01:28 BRT 2020","450","Assertions","Implicit Assertions","","","",".and() - chain multiple assertions together",""
"passed","Tue Dec 15 18:03:28 BRT 2020","Tue Dec 15 18:03:29 BRT 2020","1219","","Utilities","","","","Cypress.Promise - instantiate a bluebird promise",""
"passed","Tue Dec 15 18:01:55 BRT 2020","Tue Dec 15 18:01:55 BRT 2020","254","","Cypress.dom","","","",".isHidden() - determine if a DOM element is hidden",""
"passed","Tue Dec 15 18:02:32 BRT 2020","Tue Dec 15 18:02:34 BRT 2020","1966","","Navigation","","","","cy.go() - go back or forward in the browser's history",""
"passed","Tue Dec 15 18:03:16 BRT 2020","Tue Dec 15 18:03:17 BRT 2020","340","","Traversal","","","",".nextAll() - get all next sibling DOM elements",""
"passed","Tue Dec 15 18:00:20 BRT 2020","Tue Dec 15 18:00:26 BRT 2020","5944","","PWA criar conta perfil invalido","","","","Criar conta Telefone já Registrado",""
"passed","Tue Dec 15 18:03:18 BRT 2020","Tue Dec 15 18:03:18 BRT 2020","219","","Traversal","","","",".prevAll() - get all previous sibling DOM elements",""
"passed","Tue Dec 15 18:01:52 BRT 2020","Tue Dec 15 18:01:52 BRT 2020","525","","Cypress.Commands","","","",".add() - create a custom command",""
"passed","Tue Dec 15 18:01:37 BRT 2020","Tue Dec 15 18:01:38 BRT 2020","901","","Connectors","","","",".each() - iterate over an array of elements",""
"passed","Tue Dec 15 18:01:54 BRT 2020","Tue Dec 15 18:01:54 BRT 2020","496","","Cypress.arch","","","","Get CPU architecture name of underlying OS",""
"passed","Tue Dec 15 18:01:47 BRT 2020","Tue Dec 15 18:01:47 BRT 2020","389","","Cookies","","","","cy.clearCookies() - clear browser cookies",""
"passed","Tue Dec 15 18:00:12 BRT 2020","Tue Dec 15 18:00:15 BRT 2020","3147","","PWA criar conta perfil invalido","","","","Form Quero ser avisado - Não",""
"passed","Tue Dec 15 18:02:21 BRT 2020","Tue Dec 15 18:02:23 BRT 2020","1487","","Misc","","","","cy.exec() - execute a system command",""
"passed","Tue Dec 15 18:01:55 BRT 2020","Tue Dec 15 18:01:55 BRT 2020","354","","Cypress.env()","","","","Get environment variables",""
"passed","Tue Dec 15 18:01:11 BRT 2020","Tue Dec 15 18:01:13 BRT 2020","2444","","Actions","","","","cy.scrollTo() - scroll the window or element to a position",""
"passed","Tue Dec 15 18:01:06 BRT 2020","Tue Dec 15 18:01:08 BRT 2020","1203","","Actions","","","",".check() - check a checkbox or radio element",""
"passed","Tue Dec 15 18:03:42 BRT 2020","Tue Dec 15 18:03:48 BRT 2020","5885","","Waiting","","","","cy.wait() - wait for a specific amount of time",""
"passed","Tue Dec 15 18:02:27 BRT 2020","Tue Dec 15 18:02:27 BRT 2020","390","Misc","Cypress.Screenshot","","","","Cypress.Screenshot.defaults() - change default config of screenshots",""
"passed","Tue Dec 15 18:03:18 BRT 2020","Tue Dec 15 18:03:19 BRT 2020","275","","Traversal","","","",".prevUntil() - get all previous sibling DOM elements until el",""
"passed","Tue Dec 15 18:03:26 BRT 2020","Tue Dec 15 18:03:27 BRT 2020","741","","Utilities","","","","Cypress.Blob - blob utilities and base64 string conversion",""
"passed","Tue Dec 15 18:01:11 BRT 2020","Tue Dec 15 18:01:11 BRT 2020","310","","Actions","","","",".trigger() - trigger an event on a DOM element",""
"passed","Tue Dec 15 18:03:17 BRT 2020","Tue Dec 15 18:03:17 BRT 2020","221","","Traversal","","","",".not() - remove DOM elements from set of DOM elements",""
"passed","Tue Dec 15 18:03:18 BRT 2020","Tue Dec 15 18:03:18 BRT 2020","208","","Traversal","","","",".parentsUntil() - get parent DOM elements from DOM elements until el",""
"passed","Tue Dec 15 18:03:57 BRT 2020","Tue Dec 15 18:03:58 BRT 2020","385","","Window","","","","cy.document() - get the document object",""
"passed","Tue Dec 15 18:01:30 BRT 2020","Tue Dec 15 18:01:30 BRT 2020","287","Assertions","Explicit Assertions","","","","assert - assert shape of an object",""
"passed","Tue Dec 15 18:03:18 BRT 2020","Tue Dec 15 18:03:18 BRT 2020","246","","Traversal","","","",".prev() - get previous sibling DOM element",""
"passed","Tue Dec 15 18:02:44 BRT 2020","Tue Dec 15 18:02:46 BRT 2020","1825","","Network Requests","","","","cy.request() with query parameters",""
"passed","Tue Dec 15 18:01:26 BRT 2020","Tue Dec 15 18:01:28 BRT 2020","1529","Assertions","Implicit Assertions","","","",".should() - make an assertion about the current subject",""
"failed","Tue Dec 15 17:59:45 BRT 2020","Tue Dec 15 17:59:46 BRT 2020","481","","Hello World","","","","True é False",""
"passed","Tue Dec 15 18:03:24 BRT 2020","Tue Dec 15 18:03:26 BRT 2020","1479","","Utilities","","","","Cypress._ - call a lodash method",""
"passed","Tue Dec 15 18:01:38 BRT 2020","Tue Dec 15 18:01:38 BRT 2020","404","","Connectors","","","",".its() - get properties on the current subject",""
"passed","Tue Dec 15 18:02:03 BRT 2020","Tue Dec 15 18:02:03 BRT 2020","235","","Files","","","","cy.readFile() - read file contents",""
"passed","Tue Dec 15 18:03:17 BRT 2020","Tue Dec 15 18:03:17 BRT 2020","252","","Traversal","","","",".parent() - get parent DOM element from DOM elements",""
"passed","Tue Dec 15 18:01:06 BRT 2020","Tue Dec 15 18:01:06 BRT 2020","455","","Actions","","","",".rightclick() - right click on a DOM element",""
"passed","Tue Dec 15 18:01:08 BRT 2020","Tue Dec 15 18:01:09 BRT 2020","1154","","Actions","","","",".uncheck() - uncheck a checkbox element",""
"passed","Tue Dec 15 18:03:08 BRT 2020","Tue Dec 15 18:03:08 BRT 2020","363","","Spies, Stubs, and Clock","","","","cy.clock() - control time in the browser",""
"passed","Tue Dec 15 18:01:39 BRT 2020","Tue Dec 15 18:01:39 BRT 2020","197","","Connectors","","","",".spread() - spread an array as individual args to callback function",""
"passed","Tue Dec 15 18:02:47 BRT 2020","Tue Dec 15 18:02:48 BRT 2020","984","","Network Requests","","","","cy.request() - save response in the shared test context",""
"passed","Tue Dec 15 18:01:28 BRT 2020","Tue Dec 15 18:01:29 BRT 2020","249","Assertions","Explicit Assertions","","","","expect - make an assertion about a specified subject",""
"passed","Tue Dec 15 18:03:58 BRT 2020","Tue Dec 15 18:03:58 BRT 2020","433","","Window","","","","cy.title() - get the title",""
"passed","Tue Dec 15 18:01:10 BRT 2020","Tue Dec 15 18:01:10 BRT 2020","381","","Actions","","","",".scrollIntoView() - scroll an element into view",""
"passed","Tue Dec 15 18:01:19 BRT 2020","Tue Dec 15 18:01:20 BRT 2020","1326","","Aliasing","","","",".as() - alias a DOM element for later use",""
"passed","Tue Dec 15 18:02:58 BRT 2020","Tue Dec 15 18:02:59 BRT 2020","862","","Querying","","","","best practices - selecting elements",""
"passed","Tue Dec 15 18:01:03 BRT 2020","Tue Dec 15 18:01:05 BRT 2020","2977","","Actions","","","",".click() - click on a DOM element",""
"passed","Tue Dec 15 18:00:41 BRT 2020","Tue Dec 15 18:00:49 BRT 2020","8504","","Login test cases","","","","Login - Logout",""
"passed","Tue Dec 15 18:03:05 BRT 2020","Tue Dec 15 18:03:07 BRT 2020","2557","","Spies, Stubs, and Clock","","","","cy.spy() retries until assertions pass",""
"passed","Tue Dec 15 18:03:19 BRT 2020","Tue Dec 15 18:03:19 BRT 2020","238","","Traversal","","","",".siblings() - get all sibling DOM elements",""
"passed","Tue Dec 15 18:02:46 BRT 2020","Tue Dec 15 18:02:47 BRT 2020","1051","","Network Requests","","","","cy.request() - pass result to the second request",""
"passed","Tue Dec 15 18:03:16 BRT 2020","Tue Dec 15 18:03:16 BRT 2020","257","","Traversal","","","",".next() - get next sibling DOM element",""
"passed","Tue Dec 15 18:02:09 BRT 2020","Tue Dec 15 18:02:10 BRT 2020","1301","","Local Storage","","","","cy.clearLocalStorage() - clear all data in local storage",""
"passed","Tue Dec 15 18:02:15 BRT 2020","Tue Dec 15 18:02:16 BRT 2020","392","","Location","","","","cy.location() - get window.location",""
"passed","Tue Dec 15 18:03:04 BRT 2020","Tue Dec 15 18:03:05 BRT 2020","869","","Spies, Stubs, and Clock","","","","cy.spy() - wrap a method in a spy",""
"passed","Tue Dec 15 18:02:03 BRT 2020","Tue Dec 15 18:02:03 BRT 2020","241","","Files","","","","cy.fixture() or require - load a fixture",""
"passed","Tue Dec 15 18:03:16 BRT 2020","Tue Dec 15 18:03:16 BRT 2020","225","","Traversal","","","",".last() - get last DOM element",""
"passed","Tue Dec 15 18:02:23 BRT 2020","Tue Dec 15 18:02:24 BRT 2020","1009","","Misc","","","","cy.focused() - get the DOM element that has focus",""
"passed","Tue Dec 15 17:59:46 BRT 2020","Tue Dec 15 17:59:46 BRT 2020","18","","Hello World","","","","False é False",""
"passed","Tue Dec 15 17:59:45 BRT 2020","Tue Dec 15 17:59:45 BRT 2020","45","","Hello World","","","","True é True",""
"passed","Tue Dec 15 18:01:39 BRT 2020","Tue Dec 15 18:01:39 BRT 2020","271","Connectors",".then()","","","","yields the returned value to the next command",""
"passed","Tue Dec 15 18:03:34 BRT 2020","Tue Dec 15 18:03:38 BRT 2020","3801","","Viewport","","","","cy.viewport() - set the viewport size and dimension",""
"passed","Tue Dec 15 18:01:39 BRT 2020","Tue Dec 15 18:01:39 BRT 2020","278","Connectors",".then()","","","","invokes a callback function with the current subject",""
"passed","Tue Dec 15 18:02:48 BRT 2020","Tue Dec 15 18:02:50 BRT 2020","1864","","Network Requests","","","","cy.intercept() - route responses to matching requests",""
"passed","Tue Dec 15 18:01:56 BRT 2020","Tue Dec 15 18:01:56 BRT 2020","288","","Cypress.platform","","","","Get underlying OS name",""
"passed","Tue Dec 15 18:02:58 BRT 2020","Tue Dec 15 18:02:58 BRT 2020","234","","Querying","","","","cy.root() - query the root DOM element",""
"passed","Tue Dec 15 18:01:56 BRT 2020","Tue Dec 15 18:01:57 BRT 2020","305","","Cypress.spec","","","","Get current spec information",""
"passed","Tue Dec 15 18:02:43 BRT 2020","Tue Dec 15 18:02:44 BRT 2020","1195","","Network Requests","","","","cy.request() - verify response using BDD syntax",""
"passed","Tue Dec 15 18:02:35 BRT 2020","Tue Dec 15 18:02:36 BRT 2020","738","","Navigation","","","","cy.visit() - visit a remote url",""
"passed","Tue Dec 15 18:03:27 BRT 2020","Tue Dec 15 18:03:28 BRT 2020","567","","Utilities","","","","Cypress.moment() - format or parse dates using a moment method",""
"passed","Tue Dec 15 18:03:17 BRT 2020","Tue Dec 15 18:03:18 BRT 2020","297","","Traversal","","","",".parents() - get parent DOM elements from DOM elements",""
"passed","Tue Dec 15 18:03:15 BRT 2020","Tue Dec 15 18:03:16 BRT 2020","285","","Traversal","","","",".find() - get descendant DOM elements of the selector",""
"passed","Tue Dec 15 18:02:03 BRT 2020","Tue Dec 15 18:02:04 BRT 2020","809","","Files","","","","cy.writeFile() - write to a file",""
"passed","Tue Dec 15 18:01:46 BRT 2020","Tue Dec 15 18:01:46 BRT 2020","437","","Cookies","","","","cy.getCookies() - get browser cookies",""
"passed","Tue Dec 15 18:01:53 BRT 2020","Tue Dec 15 18:01:54 BRT 2020","624","","Cypress.Cookies","","","",".preserveOnce() - preserve cookies by key",""
"passed","Tue Dec 15 18:02:20 BRT 2020","Tue Dec 15 18:02:21 BRT 2020","956","","Misc","","","",".end() - end the command chain",""
"passed","Tue Dec 15 18:01:01 BRT 2020","Tue Dec 15 18:01:02 BRT 2020","750","","Actions","","","",".clear() - clears an input or textarea element",""
"passed","Tue Dec 15 18:01:38 BRT 2020","Tue Dec 15 18:01:39 BRT 2020","222","","Connectors","","","",".invoke() - invoke a function on the current subject",""
"passed","Tue Dec 15 18:01:29 BRT 2020","Tue Dec 15 18:01:30 BRT 2020","255","Assertions","Explicit Assertions","","","","can throw any error",""
"passed","Tue Dec 15 18:01:54 BRT 2020","Tue Dec 15 18:01:54 BRT 2020","339","","Cypress.Cookies","","","",".defaults() - set defaults for all cookies",""
"passed","Tue Dec 15 18:02:24 BRT 2020","Tue Dec 15 18:02:27 BRT 2020","2459","Misc","Cypress.Screenshot","","","","cy.screenshot() - take a screenshot",""
"passed","Tue Dec 15 18:01:52 BRT 2020","Tue Dec 15 18:01:53 BRT 2020","799","","Cypress.Cookies","","","",".debug() - enable or disable debugging",""
"passed","Tue Dec 15 18:03:56 BRT 2020","Tue Dec 15 18:03:57 BRT 2020","980","","Window","","","","cy.window() - get the global window object",""
"failed","Tue Dec 15 18:00:26 BRT 2020","Tue Dec 15 18:00:35 BRT 2020","8616","","PWA criar conta perfil invalido","","","","Criar conta Ajuda",""
"passed","Tue Dec 15 18:03:07 BRT 2020","Tue Dec 15 18:03:08 BRT 2020","399","","Spies, Stubs, and Clock","","","","cy.stub() - create a stub and/or replace a function with stub",""
"passed","Tue Dec 15 18:02:34 BRT 2020","Tue Dec 15 18:02:35 BRT 2020","1148","","Navigation","","","","cy.reload() - reload the page",""
"passed","Tue Dec 15 18:02:56 BRT 2020","Tue Dec 15 18:02:57 BRT 2020","1016","","Querying","","","","cy.get() - query DOM elements",""
"passed","Tue Dec 15 18:01:54 BRT 2020","Tue Dec 15 18:01:55 BRT 2020","292","","Cypress.config()","","","","Get and set configuration options",""
"passed","Tue Dec 15 18:03:16 BRT 2020","Tue Dec 15 18:03:16 BRT 2020","217","","Traversal","","","",".first() - get first DOM element",""
"passed","Tue Dec 15 18:01:30 BRT 2020","Tue Dec 15 18:01:30 BRT 2020","279","Assertions","Explicit Assertions","","","","matches unknown text between two elements",""
"passed","Tue Dec 15 18:01:46 BRT 2020","Tue Dec 15 18:01:47 BRT 2020","312","","Cookies","","","","cy.setCookie() - set a browser cookie",""
"passed","Tue Dec 15 18:03:09 BRT 2020","Tue Dec 15 18:03:09 BRT 2020","52","","Spies, Stubs, and Clock","","","","matches call arguments using Sinon matchers",""
"passed","Tue Dec 15 18:01:06 BRT 2020","Tue Dec 15 18:01:06 BRT 2020","480","","Actions","","","",".dblclick() - double click on a DOM element",""
"passed","Tue Dec 15 18:01:29 BRT 2020","Tue Dec 15 18:01:29 BRT 2020","235","Assertions","Explicit Assertions","","","","pass your own callback function to should()",""
"passed","Tue Dec 15 18:01:45 BRT 2020","Tue Dec 15 18:01:46 BRT 2020","1149","","Cookies","","","","cy.getCookie() - get a browser cookie",""
"passed","Tue Dec 15 18:02:58 BRT 2020","Tue Dec 15 18:02:58 BRT 2020","253","","Querying","","","",".within() - query DOM elements within a specific element",""
"passed","Tue Dec 15 18:02:01 BRT 2020","Tue Dec 15 18:02:03 BRT 2020","1452","","Files","","","","cy.fixture() - load a fixture",""
"passed","Tue Dec 15 18:01:09 BRT 2020","Tue Dec 15 18:01:10 BRT 2020","1259","","Actions","","","",".select() - select an option in a <select> element",""
"passed","Tue Dec 15 18:01:00 BRT 2020","Tue Dec 15 18:01:01 BRT 2020","627","","Actions","","","",".blur() - blur off a DOM element",""
"passed","Tue Dec 15 18:00:06 BRT 2020","Tue Dec 15 18:00:12 BRT 2020","6007","","PWA criar conta perfil invalido","","","","Form Quero ser avisado - Sucesso",""
"passed","Tue Dec 15 18:02:15 BRT 2020","Tue Dec 15 18:02:15 BRT 2020","820","","Location","","","","cy.hash() - get the current URL hash",""
"passed","Tue Dec 15 18:03:15 BRT 2020","Tue Dec 15 18:03:15 BRT 2020","266","","Traversal","","","",".filter() - get DOM elements that match the selector",""
"passed","Tue Dec 15 18:01:47 BRT 2020","Tue Dec 15 18:01:47 BRT 2020","386","","Cookies","","","","cy.clearCookie() - clear a browser cookie",""
"passed","Tue Dec 15 17:59:52 BRT 2020","Tue Dec 15 17:59:56 BRT 2020","3824","","PWA deve estar acessível","","","","Home deve estar acessível",""
"passed","Tue Dec 15 18:01:20 BRT 2020","Tue Dec 15 18:01:21 BRT 2020","1548","","Aliasing","","","",".as() - alias a route for later use",""
"passed","Tue Dec 15 18:03:26 BRT 2020","Tue Dec 15 18:03:26 BRT 2020","356","","Utilities","","","","Cypress.$ - call a jQuery method",""
"passed","Tue Dec 15 18:01:55 BRT 2020","Tue Dec 15 18:01:56 BRT 2020","278","","Cypress.log","","","","Control what is printed to the Command Log",""
"passed","Tue Dec 15 18:02:16 BRT 2020","Tue Dec 15 18:02:16 BRT 2020","180","","Location","","","","cy.url() - get the current URL",""
"passed","Tue Dec 15 18:01:29 BRT 2020","Tue Dec 15 18:01:29 BRT 2020","256","Assertions","Explicit Assertions","","","","finds element by class name regex",""
"passed","Tue Dec 15 18:03:17 BRT 2020","Tue Dec 15 18:03:17 BRT 2020","259","","Traversal","","","",".nextUntil() - get next sibling DOM elements until next el",""
"passed","Tue Dec 15 18:03:27 BRT 2020","Tue Dec 15 18:03:27 BRT 2020","370","","Utilities","","","","Cypress.minimatch - test out glob patterns against strings",""
"passed","Tue Dec 15 18:03:14 BRT 2020","Tue Dec 15 18:03:15 BRT 2020","462","","Traversal","","","",".closest() - get closest ancestor DOM element",""
"passed","Tue Dec 15 18:03:08 BRT 2020","Tue Dec 15 18:03:09 BRT 2020","409","","Spies, Stubs, and Clock","","","","cy.tick() - move time in the browser",""
"passed","Tue Dec 15 18:01:00 BRT 2020","Tue Dec 15 18:01:00 BRT 2020","544","","Actions","","","",".focus() - focus on a DOM element",""
"passed","Tue Dec 15 18:01:40 BRT 2020","Tue Dec 15 18:01:40 BRT 2020","221","Connectors",".then()","","","","yields the value yielded by the last Cypress command inside",""
"passed","Tue Dec 15 18:02:41 BRT 2020","Tue Dec 15 18:02:43 BRT 2020","1732","","Network Requests","","","","cy.request() - make an XHR request",""
"passed","Tue Dec 15 18:03:09 BRT 2020","Tue Dec 15 18:03:09 BRT 2020","46","","Spies, Stubs, and Clock","","","","cy.stub() matches depending on arguments",""
"passed","Tue Dec 15 18:03:48 BRT 2020","Tue Dec 15 18:03:49 BRT 2020","1328","","Waiting","","","","cy.wait() - wait for a specific route",""
"passed","Tue Dec 15 18:01:30 BRT 2020","Tue Dec 15 18:01:32 BRT 2020","1729","Assertions","Explicit Assertions","","","","retries the should callback until assertions pass",""
"passed","Tue Dec 15 18:01:56 BRT 2020","Tue Dec 15 18:01:56 BRT 2020","276","","Cypress.version","","","","Get current version of Cypress being run",""
"passed","Tue Dec 15 18:03:15 BRT 2020","Tue Dec 15 18:03:15 BRT 2020","240","","Traversal","","","",".eq() - get a DOM element at a specific index",""
"passed","Tue Dec 15 18:02:24 BRT 2020","Tue Dec 15 18:02:24 BRT 2020","363","","Misc","","","","cy.wrap() - wrap an object",""
"passed","Tue Dec 15 18:03:14 BRT 2020","Tue Dec 15 18:03:14 BRT 2020","606","","Traversal","","","",".children() - get child DOM elements",""
"passed","Tue Dec 15 18:02:57 BRT 2020","Tue Dec 15 18:02:58 BRT 2020","518","","Querying","","","","cy.contains() - query DOM elements with matching content",""
"passed","Tue Dec 15 18:01:39 BRT 2020","Tue Dec 15 18:01:40 BRT 2020","265","Connectors",".then()","","","","yields the original subject without return",""
"passed","Tue Dec 15 18:00:54 BRT 2020","Tue Dec 15 18:01:00 BRT 2020","5390","","Actions","","","",".type() - type into a DOM element",""
